"sampleId"	"trEgf"	"time"	"AktpS"	"AktpT"	"AMPK"	"cJUNp"	"EGFRp"
1	0	5	-0.6247379664789564	-2.1925720471590946	-4.916212052960316	-3.289501555530109	-6.246397915861723
2	0	15	-0.4903055861141785	-2.057080357603576	-5.463532555138658	-3.425046084694389	-5.810893966823505
3	0	30	-0.390184292240646	-2.0237868980839724	-4.9180550644901295	-3.2263920594554127	-5.202297862615986
4	0	60	-0.3675917411605786	-2.1180771309048465	-4.952429265307635	-3.486779159198035	-4.632180468134154
5	5	5	0.10927748640198313	-1.2457845790262851	-5.029240451645601	-3.352584547500474	-4.798908911315786
6	5	15	0.2424444671533241	-1.1385776668555867	-5.230813184832257	-3.1084745676219474	-5.071279753609457
7	5	30	0.38480888549647535	-1.1691743753723534	-5.203448496227632	-3.0212224861426904	-5.062674129488343
8	5	60	0.28158504655675315	-1.322813016096119	-5.479087247813367	-2.9166654018535407	-4.554526629301036
9	10	5	0.29379283142530394	-1.1222478795528095	-4.7717233597644295	-3.3120557427924164	-3.919299196149976
10	10	15	0.4650445845255362	-1.022140536658830	-5.266205386311658	-3.07052987421603	-4.283090213395247
11	10	30	0.6466333987151461	-1.0447429349723303	-4.980114915482538	-3.0064867562506015	-4.065751643771884
12	10	60	0.5654875642189102	-1.1084269896594223	-5.273011998641125	-2.6517053597893243	-3.7504457424925275
